Vegetation Index,R² (mean ± std),RMSE (mean ± std),MAE (mean ± std),RRMSE (%),Regression Equation
ave_b_NDVI,-0.0846 ± 0.0577,27.6469 ± 6.6575,24.4647 ± 6.6258,41.19,AGB = 151.9578 * ave_b_NDVI + -65.5581
ave_b_ND800_680,-0.0711 ± 0.0723,27.3576 ± 6.0822,24.2566 ± 5.9064,40.76,AGB = 231.0097 * ave_b_ND800_680 + -126.0662
ave_b_mND_705,-0.0738 ± 0.1623,27.2491 ± 5.7479,23.8882 ± 5.7429,40.60,AGB = 293.4918 * ave_b_mND_705 + -106.2535
ave_b_DD,-0.0566 ± 0.1844,27.0693 ± 6.1264,23.5014 ± 6.0711,40.33,AGB = 593.2969 * ave_b_DD + 32.9726
ave_b_mSR_705,-0.0739 ± 0.1718,27.2360 ± 5.7443,23.8776 ± 5.7259,40.58,AGB = 25.2319 * ave_b_mSR_705 + -31.4940
ave_b_DATT,-0.0150 ± 0.0745,26.8247 ± 6.8095,23.4800 ± 6.4564,39.96,AGB = -1.2782 * ave_b_DATT + 89.3577
ave_b_Chl_Rred_edge,-0.0885 ± 0.1598,27.4860 ± 6.0891,24.1579 ± 6.3379,40.95,AGB = 60.8682 * ave_b_Chl_Rred_edge + -15.3674
ave_b_TBI_13,0.3056 ± 0.1259,21.8329 ± 4.5043,17.7112 ± 3.8503,32.53,AGB = 45.5473 * ave_b_TBI_13 + 29.8404
ave_b_TBI_24,0.3182 ± 0.1246,21.6433 ± 4.5130,17.5886 ± 3.8248,32.24,AGB = -375.7089 * ave_b_TBI_24 + 196.5602
ave_b_TBI_25,0.3182 ± 0.1246,21.6433 ± 4.5130,17.5886 ± 3.8248,32.24,AGB = 375.7089 * ave_b_TBI_25 + -179.1487
